student_id,weekday,class_start_time,distance_km,weather,transport_mode,avg_speed_kmh,habitual_punctuality,sleep_hours,alarm_used,expected_time,check_in_time,late_minutes
N22DCIT630,Friday,07:00,7.0,cloudy,bus,34.7,0.95,6.93,yes,06:47,06:50,0
N22DCCN878,Monday,07:00,8.5,rainy,bus,35.4,0.75,5.96,no,06:45,06:51,0
N22DCCN805,Monday,07:00,9.5,sunny,bus,29.2,1.0,7.47,yes,06:40,06:54,0
N22DCME136,Friday,07:00,5.2,sunny,bus,36.9,0.71,6.06,no,06:51,06:58,0
N22DCDK689,Thursday,07:00,7.6,sunny,bus,32.2,0.69,6.06,yes,06:45,06:57,0
N22DCME514,Thursday,07:00,1.0,rainy,walk,5.1,0.93,5.65,yes,06:48,06:53,0
N22DCDK810,Tuesday,07:00,4.0,rainy,bike,22.2,0.79,6.25,yes,06:49,06:53,0
N22DCME550,Thursday,07:00,5.5,cloudy,bus,26.5,0.79,6.11,yes,06:47,07:02,2
N22DCVT650,Monday,07:00,6.7,cloudy,bus,25.1,1.0,8.98,yes,06:43,06:47,0
N22DCCN056,Tuesday,07:00,6.7,sunny,bus,24.1,0.79,6.19,yes,06:43,06:43,0
N22DCCN793,Friday,07:00,5.9,rainy,bus,36.9,0.56,8.32,yes,06:50,07:04,5
N22DCDK884,Friday,07:00,6.8,cloudy,bus,30.8,0.55,8.37,yes,06:46,06:55,0
N22DCIT126,Friday,07:00,3.0,sunny,bike,18.2,0.62,6.31,no,06:50,06:50,0
N22DCVT929,Monday,07:00,5.9,sunny,bus,30.3,0.56,8.26,yes,06:48,06:54,0
N22DCDK180,Wednesday,07:00,2.3,sunny,bike,23.9,0.63,6.4,yes,06:54,06:57,0
N22DCCN431,Saturday,07:00,2.4,cloudy,bike,18.0,0.83,8.99,yes,06:52,06:57,0
N22DCDK232,Thursday,07:00,2.6,sunny,bike,23.1,0.68,8.53,yes,06:53,07:06,7
N22DCCN942,Sunday,07:00,7.6,rainy,bus,34.7,0.84,8.7,yes,06:46,06:50,0
N22DCCN964,Wednesday,07:00,6.8,sunny,bus,21.1,0.93,8.58,no,06:40,06:47,0
N22DCIT898,Thursday,07:00,9.1,sunny,bus,26.7,0.71,6.59,yes,06:39,06:51,0
N22DCVT882,Wednesday,07:00,6.1,sunny,bus,37.6,0.73,6.73,yes,06:50,06:52,0
N22DCIT928,Friday,07:00,6.3,rainy,bus,39.0,0.82,5.07,no,06:50,07:01,2
N22DCCN354,Thursday,07:00,7.3,cloudy,bus,29.4,0.56,5.15,yes,06:45,06:45,0
N22DCDK682,Sunday,07:00,7.5,sunny,bus,23.9,0.88,5.13,yes,06:41,06:43,0
N22DCDK513,Wednesday,07:00,8.7,cloudy,bus,20.5,0.58,6.54,yes,06:34,06:42,0
N22DCME509,Saturday,07:00,3.7,sunny,bike,16.8,0.63,6.66,no,06:46,06:54,0
N22DCVT027,Friday,07:00,9.2,windy,bus,22.0,0.95,7.81,no,06:34,06:40,0
N22DCIT323,Tuesday,07:00,4.3,sunny,bike,16.4,0.69,8.71,no,06:44,06:47,0
N22DCCN752,Saturday,07:00,9.3,sunny,bus,30.7,0.64,7.21,yes,06:41,06:49,0
N22DCVT820,Friday,07:00,3.9,sunny,bike,17.9,0.66,7.07,no,06:46,06:49,0
N22DCIT938,Sunday,07:00,5.8,windy,bus,27.3,0.62,8.9,no,06:47,07:01,1
N22DCDK482,Wednesday,07:00,2.8,sunny,bike,15.2,0.88,8.64,yes,06:48,07:03,4
N22DCDK674,Monday,07:00,5.7,sunny,bus,31.0,0.85,7.79,yes,06:48,06:54,0
N22DCDK255,Sunday,07:00,2.3,sunny,bike,17.9,0.76,7.16,yes,06:52,06:57,0
N22DCCN712,Thursday,07:00,5.4,sunny,bus,37.2,0.71,7.43,yes,06:51,06:55,0
N22DCDK615,Friday,07:00,4.2,sunny,bike,19.3,0.62,8.01,yes,06:46,06:50,0
N22DCCN901,Wednesday,07:00,6.1,rainy,bus,36.2,0.77,8.63,yes,06:49,06:50,0
N22DCME930,Sunday,07:00,3.5,rainy,bike,17.3,0.51,5.8,yes,06:47,06:56,0
N22DCIT799,Friday,07:00,7.1,sunny,bus,26.8,0.96,5.43,yes,06:44,06:49,0
N22DCME034,Tuesday,07:00,8.7,sunny,bus,27.7,0.58,6.02,yes,06:41,06:47,0
N22DCIT423,Wednesday,07:00,7.7,rainy,bus,36.9,0.88,6.33,yes,06:47,06:57,0
N22DCIT546,Sunday,07:00,3.2,windy,bike,19.1,0.59,5.8,yes,06:49,06:50,0
N22DCME471,Saturday,07:00,3.7,sunny,bike,20.5,0.81,5.06,yes,06:49,06:59,0
N22DCDK711,Saturday,07:00,4.6,sunny,bike,20.6,0.87,5.06,yes,06:46,06:46,0
N22DCVT431,Wednesday,07:00,7.8,cloudy,bus,28.6,0.57,7.52,yes,06:43,06:47,0
N22DCCN441,Saturday,07:00,0.6,sunny,walk,4.8,0.51,8.39,yes,06:52,07:06,6
N22DCIT973,Wednesday,07:00,8.8,rainy,bus,25.7,0.92,5.58,yes,06:39,06:44,0
N22DCME600,Saturday,07:00,1.3,cloudy,walk,4.5,0.92,6.29,yes,06:42,06:53,0
N22DCDK692,Tuesday,07:00,1.0,cloudy,walk,4.6,0.62,8.18,no,06:46,06:51,0
N22DCDK963,Friday,07:00,5.5,sunny,bus,20.8,0.51,8.5,no,06:44,06:50,0
N22DCME821,Sunday,07:00,2.5,cloudy,bike,22.3,0.87,7.02,yes,06:53,07:06,6
N22DCCN039,Saturday,07:00,5.5,sunny,bus,20.6,0.94,5.48,yes,06:43,06:47,0
N22DCVT314,Monday,07:00,5.1,sunny,bus,39.6,0.64,6.03,yes,06:52,06:58,0
N22DCVT638,Sunday,07:00,3.4,sunny,bike,17.9,0.89,7.1,no,06:48,06:59,0
N22DCVT653,Sunday,07:00,5.7,sunny,bus,25.0,0.99,6.88,yes,06:46,06:54,0
N22DCVT638,Sunday,07:00,8.3,sunny,bus,38.9,0.51,5.68,yes,06:47,06:52,0
N22DCIT287,Wednesday,07:00,6.5,rainy,bus,28.1,0.57,5.12,no,06:46,06:51,0
N22DCIT729,Friday,07:00,6.0,cloudy,bus,29.9,0.74,7.51,yes,06:47,06:56,0
N22DCIT177,Tuesday,07:00,3.4,sunny,bike,22.3,0.63,6.55,yes,06:50,07:01,1
N22DCDK607,Thursday,07:00,3.4,rainy,bike,17.7,0.66,5.56,yes,06:48,06:56,0
N22DCDK891,Monday,07:00,5.8,rainy,bus,31.4,0.7,8.18,yes,06:48,06:58,0
N22DCCN536,Thursday,07:00,6.4,sunny,bus,34.9,0.84,6.25,yes,06:48,07:01,1
N22DCDK387,Friday,07:00,2.9,cloudy,bike,16.5,0.59,8.04,yes,06:49,06:55,0
N22DCVT108,Sunday,07:00,3.0,cloudy,bike,21.2,0.93,8.57,yes,06:51,06:53,0
N22DCCN455,Tuesday,07:00,4.0,sunny,bike,19.9,0.91,6.42,yes,06:47,06:57,0
N22DCIT852,Monday,07:00,2.8,windy,bike,16.9,0.58,6.53,yes,06:50,07:01,1
N22DCCN036,Monday,07:00,4.6,sunny,bike,23.6,0.52,5.34,yes,06:48,06:51,0
N22DCVT038,Sunday,07:00,2.6,sunny,bike,22.4,0.76,6.79,yes,06:53,06:56,0
N22DCIT777,Wednesday,07:00,6.8,sunny,bus,37.2,0.89,5.96,no,06:49,06:56,0
N22DCDK095,Wednesday,07:00,4.3,sunny,bike,23.7,0.98,5.72,no,06:49,06:52,0
N22DCME288,Saturday,07:00,5.0,rainy,bike,22.0,0.69,6.62,yes,06:46,06:53,0
N22DCCN673,Sunday,07:00,5.8,sunny,bus,28.5,0.64,6.22,yes,06:47,06:50,0
N22DCME502,Friday,07:00,5.7,sunny,bus,30.2,0.63,8.74,no,06:48,06:54,0
N22DCVT369,Tuesday,07:00,5.1,rainy,bus,33.9,0.6,6.36,yes,06:50,07:04,4
N22DCCN448,Saturday,07:00,4.3,rainy,bike,17.9,0.99,8.52,yes,06:45,06:54,0
N22DCDK821,Monday,07:00,5.6,cloudy,bus,37.4,0.62,6.78,yes,06:51,06:54,0
N22DCME026,Monday,07:00,1.7,rainy,walk,5.4,0.75,5.41,yes,06:41,06:45,0
N22DCDK109,Friday,07:00,4.4,rainy,bike,21.9,0.79,7.12,yes,06:47,07:01,1
N22DCIT571,Saturday,07:00,6.3,rainy,bus,22.1,0.77,8.43,yes,06:42,06:56,0
N22DCCN933,Friday,07:00,5.0,rainy,bike,20.7,0.98,5.92,yes,06:45,06:45,0
N22DCDK109,Thursday,07:00,3.9,cloudy,bike,21.2,0.62,7.27,yes,06:48,06:58,0
N22DCCN652,Tuesday,07:00,0.8,rainy,walk,4.4,0.53,7.76,yes,06:49,06:50,0
N22DCDK396,Monday,07:00,6.5,rainy,bus,29.2,0.92,8.47,yes,06:46,06:53,0
N22DCCN949,Tuesday,07:00,6.5,rainy,bus,30.6,0.54,5.95,yes,06:47,06:56,0
N22DCVT763,Sunday,07:00,3.9,windy,bike,15.8,0.62,6.77,yes,06:45,06:52,0
N22DCCN304,Sunday,07:00,5.5,cloudy,bus,25.2,0.59,7.74,yes,06:46,06:51,0
N22DCIT268,Friday,07:00,7.9,sunny,bus,24.5,0.57,5.86,no,06:40,06:47,0
N22DCDK849,Wednesday,07:00,6.3,rainy,bus,30.7,0.9,6.27,yes,06:47,06:56,0
N22DCVT835,Friday,07:00,1.5,sunny,walk,4.5,0.75,6.23,yes,06:40,06:52,0
N22DCDK353,Friday,07:00,3.9,rainy,bike,23.1,0.67,7.02,yes,06:49,07:00,0
N22DCCN399,Sunday,07:00,8.3,sunny,bus,30.0,0.78,8.04,yes,06:43,06:44,0
N22DCCN548,Wednesday,07:00,9.8,sunny,bus,34.3,0.82,8.52,no,06:42,06:45,0
N22DCVT119,Wednesday,07:00,1.4,cloudy,walk,5.7,0.83,7.13,yes,06:45,06:54,0
N22DCVT489,Monday,07:00,8.6,sunny,bus,26.0,0.93,5.28,yes,06:40,06:50,0
N22DCIT278,Friday,07:00,6.8,rainy,bus,37.2,0.99,6.45,yes,06:49,07:02,3
N22DCME600,Monday,07:00,6.0,sunny,bus,28.7,0.99,8.77,yes,06:47,06:49,0
N22DCIT125,Saturday,07:00,4.5,cloudy,bike,24.5,0.96,7.6,no,06:48,06:52,0
N22DCME517,Monday,07:00,1.7,rainy,walk,5.2,0.93,8.83,yes,06:40,06:50,0
N22DCIT690,Tuesday,07:00,9.6,windy,bus,22.3,0.51,5.87,yes,06:34,06:42,0
N22DCDK512,Friday,07:00,7.2,cloudy,bus,27.4,0.97,7.85,yes,06:44,06:46,0
N22DCVT102,Thursday,07:00,9.8,cloudy,bus,38.8,0.62,5.59,yes,06:44,06:56,0
N22DCCN122,Monday,07:00,5.3,windy,bus,25.4,0.59,7.33,yes,06:47,06:53,0
N22DCIT967,Tuesday,07:00,7.4,sunny,bus,30.0,0.67,6.11,no,06:45,06:47,0
N22DCME154,Monday,07:00,3.9,sunny,bike,22.4,0.87,5.08,yes,06:49,06:53,0
N22DCIT428,Friday,07:00,2.3,sunny,bike,15.9,0.92,8.45,yes,06:51,06:52,0
N22DCVT173,Sunday,07:00,8.3,sunny,bus,32.3,0.82,8.03,yes,06:44,06:58,0
N22DCVT659,Friday,07:00,8.4,rainy,bus,38.8,0.59,5.18,no,06:47,06:49,0
N22DCIT374,Monday,07:00,3.8,rainy,bike,16.5,0.89,5.94,yes,06:46,06:53,0
N22DCME957,Tuesday,07:00,3.5,sunny,bike,21.8,0.7,7.0,no,06:50,06:59,0
N22DCDK407,Saturday,07:00,4.4,sunny,bike,17.8,0.52,7.31,yes,06:45,06:49,0
N22DCME444,Tuesday,07:00,8.0,rainy,bus,38.8,0.92,6.66,yes,06:47,07:01,1
N22DCVT748,Friday,07:00,8.4,cloudy,bus,27.2,0.68,7.75,yes,06:41,06:52,0
N22DCME819,Wednesday,07:00,8.3,cloudy,bus,25.9,0.67,8.74,no,06:40,06:48,0
N22DCCN759,Saturday,07:00,8.2,cloudy,bus,37.0,0.62,5.56,yes,06:46,06:51,0
N22DCME292,Wednesday,07:00,1.4,sunny,walk,5.0,0.91,7.18,yes,06:43,06:56,0
N22DCVT477,Saturday,07:00,4.7,sunny,bike,20.1,0.51,6.02,no,06:45,06:49,0
N22DCCN373,Monday,07:00,4.0,sunny,bike,16.4,0.52,7.74,yes,06:45,06:48,0
N22DCDK412,Monday,07:00,3.1,cloudy,bike,19.0,0.72,7.83,yes,06:50,07:03,3
N22DCME831,Sunday,07:00,8.7,windy,bus,29.1,0.9,7.63,yes,06:42,06:46,0
N22DCCN910,Thursday,07:00,1.8,sunny,walk,5.0,0.98,5.14,yes,06:38,06:45,0
N22DCVT399,Friday,07:00,3.4,sunny,bike,20.0,0.84,8.53,yes,06:49,06:56,0
N22DCIT565,Thursday,07:00,2.8,sunny,bike,21.4,0.77,7.33,yes,06:52,07:02,2
N22DCIT369,Monday,07:00,8.8,cloudy,bus,34.6,0.67,6.96,no,06:44,06:46,0
N22DCIT827,Saturday,07:00,6.1,sunny,bus,27.8,0.72,6.66,no,06:46,06:55,0
N22DCDK179,Thursday,07:00,8.9,sunny,bus,27.0,0.83,8.81,yes,06:40,06:43,0
N22DCME684,Sunday,07:00,2.7,sunny,bike,23.8,0.74,6.39,yes,06:53,07:03,3
N22DCCN931,Thursday,07:00,9.5,cloudy,bus,28.0,0.92,8.99,yes,06:39,06:42,0
N22DCCN640,Friday,07:00,4.9,sunny,bike,24.6,0.68,6.58,no,06:48,06:59,0
N22DCDK792,Tuesday,07:00,8.6,sunny,bus,32.4,0.63,6.23,no,06:44,06:46,0
N22DCVT041,Thursday,07:00,5.4,sunny,bus,24.4,0.58,5.37,yes,06:46,06:57,0
N22DCIT072,Tuesday,07:00,6.9,rainy,bus,35.5,0.95,5.95,no,06:48,06:49,0
N22DCCN458,Monday,07:00,9.9,sunny,bus,21.3,0.77,6.2,yes,06:32,06:35,0
N22DCVT311,Sunday,07:00,8.0,sunny,bus,39.5,0.95,5.1,yes,06:47,06:59,0
N22DCDK110,Monday,07:00,7.7,rainy,bus,21.5,0.62,5.26,yes,06:38,06:52,0
N22DCDK320,Thursday,07:00,1.6,sunny,walk,4.4,0.85,7.29,yes,06:38,06:40,0
N22DCME987,Thursday,07:00,4.6,sunny,bike,20.6,0.61,8.75,no,06:46,06:58,0
N22DCIT278,Saturday,07:00,2.3,sunny,bike,16.5,0.94,6.73,yes,06:51,06:56,0
N22DCDK367,Sunday,07:00,5.5,sunny,bus,37.7,0.53,8.59,yes,06:51,06:58,0
N22DCVT092,Thursday,07:00,0.7,rainy,walk,5.3,0.58,6.83,no,06:52,07:03,3
N22DCME761,Tuesday,07:00,2.5,rainy,bike,24.5,0.95,5.12,yes,06:53,07:06,6
N22DCME898,Saturday,07:00,0.8,windy,walk,5.4,0.71,8.59,yes,06:51,06:59,0
N22DCDK055,Saturday,07:00,9.2,rainy,bus,21.0,1.0,8.17,yes,06:33,06:39,0
N22DCDK430,Thursday,07:00,9.4,sunny,bus,29.4,0.84,5.23,yes,06:40,06:44,0
N22DCDK005,Tuesday,07:00,6.1,windy,bus,29.0,0.86,7.31,yes,06:47,06:56,0
N22DCVT211,Monday,07:00,7.3,sunny,bus,36.0,0.72,6.84,no,06:47,07:02,2
N22DCIT612,Saturday,07:00,0.8,cloudy,walk,5.0,0.63,8.94,yes,06:50,06:58,0
N22DCCN159,Monday,07:00,4.6,windy,bike,15.8,0.97,8.13,no,06:42,06:56,0
N22DCME478,Thursday,07:00,0.9,sunny,walk,5.6,0.61,8.87,yes,06:50,06:56,0
N22DCDK037,Saturday,07:00,5.2,sunny,bus,23.6,0.65,7.59,yes,06:46,06:57,0
N22DCDK547,Sunday,07:00,7.2,windy,bus,23.8,0.99,6.46,yes,06:41,06:56,0
N22DCVT544,Monday,07:00,8.1,windy,bus,20.9,0.53,7.36,yes,06:36,06:38,0
N22DCVT789,Monday,07:00,9.5,cloudy,bus,20.9,0.62,7.66,no,06:32,06:45,0
N22DCDK070,Wednesday,07:00,5.1,sunny,bus,26.8,0.85,8.59,no,06:48,07:02,2
N22DCME564,Tuesday,07:00,5.2,sunny,bus,32.7,0.78,5.99,yes,06:50,07:01,1
N22DCME683,Saturday,07:00,2.5,sunny,bike,16.7,0.92,5.61,yes,06:51,07:03,3
N22DCDK508,Friday,07:00,8.1,cloudy,bus,38.5,0.64,7.49,yes,06:47,06:47,0
N22DCDK051,Tuesday,07:00,7.1,rainy,bus,38.5,0.66,9.0,yes,06:48,07:02,3
N22DCCN067,Friday,07:00,5.2,sunny,bus,25.5,0.54,8.6,yes,06:47,06:55,0
N22DCVT957,Wednesday,07:00,2.9,rainy,bike,21.3,0.95,8.82,yes,06:51,07:06,6
N22DCCN332,Saturday,07:00,9.8,cloudy,bus,21.5,0.82,7.53,yes,06:32,06:35,0
N22DCME506,Saturday,07:00,6.1,sunny,bus,32.9,0.97,7.93,no,06:48,06:55,0
N22DCCN530,Wednesday,07:00,9.6,sunny,bus,30.5,0.74,5.57,yes,06:41,06:43,0
N22DCVT140,Friday,07:00,9.3,sunny,bus,23.3,0.9,8.2,no,06:36,06:50,0
N22DCIT346,Thursday,07:00,5.1,cloudy,bus,25.8,0.89,5.55,yes,06:48,06:52,0
N22DCDK751,Thursday,07:00,6.4,rainy,bus,20.4,0.97,6.8,yes,06:41,06:50,0
N22DCCN675,Monday,07:00,1.9,sunny,walk,5.0,0.76,6.26,yes,06:37,06:39,0
N22DCDK893,Friday,07:00,5.5,cloudy,bus,29.9,0.73,7.56,yes,06:48,07:00,0
N22DCVT435,Tuesday,07:00,3.1,cloudy,bike,16.4,0.51,5.12,yes,06:48,07:02,3
N22DCIT399,Wednesday,07:00,7.7,windy,bus,32.1,0.6,6.37,yes,06:45,06:52,0
N22DCDK253,Wednesday,07:00,4.9,windy,bike,20.2,0.97,5.26,yes,06:45,06:54,0
N22DCDK736,Friday,07:00,4.6,sunny,bike,22.7,0.57,6.26,yes,06:47,06:57,0
N22DCIT332,Friday,07:00,9.1,rainy,bus,35.2,0.77,6.69,yes,06:44,06:49,0
N22DCVT419,Monday,07:00,2.4,rainy,bike,17.6,0.51,6.05,yes,06:51,06:58,0
N22DCME401,Wednesday,07:00,1.8,windy,walk,4.9,0.84,8.36,yes,06:37,06:47,0
N22DCCN958,Saturday,07:00,8.0,rainy,bus,32.2,0.77,6.21,yes,06:45,06:47,0
N22DCCN886,Saturday,07:00,0.5,sunny,walk,5.2,0.83,5.2,yes,06:54,06:57,0
N22DCVT465,Sunday,07:00,7.5,sunny,bus,31.9,0.63,5.32,yes,06:45,06:54,0
N22DCCN259,Saturday,07:00,2.2,sunny,bike,24.6,0.95,6.03,yes,06:54,07:02,3
N22DCDK762,Friday,07:00,7.0,sunny,bus,26.6,0.51,7.95,yes,06:44,06:55,0
N22DCIT994,Tuesday,07:00,5.4,sunny,bus,31.0,0.59,8.0,yes,06:49,06:59,0
N22DCCN939,Tuesday,07:00,6.7,cloudy,bus,32.3,0.82,8.47,no,06:47,06:50,0
N22DCCN626,Friday,07:00,5.1,cloudy,bus,30.7,0.56,5.15,yes,06:50,06:54,0
N22DCME887,Tuesday,07:00,8.1,rainy,bus,26.2,0.9,6.11,yes,06:41,06:54,0
N22DCME730,Saturday,07:00,5.7,cloudy,bus,23.6,0.54,7.66,yes,06:45,07:00,0
N22DCME171,Tuesday,07:00,4.2,cloudy,bike,22.6,0.92,5.89,yes,06:48,06:55,0
N22DCIT531,Tuesday,07:00,3.9,sunny,bike,20.2,0.83,5.73,no,06:48,07:02,3
N22DCIT822,Sunday,07:00,9.8,rainy,bus,39.1,0.97,5.16,yes,06:44,06:51,0
N22DCVT616,Monday,07:00,1.7,cloudy,walk,5.2,0.63,8.48,yes,06:40,06:51,0
N22DCVT900,Saturday,07:00,2.8,sunny,bike,24.9,0.84,7.71,yes,06:53,06:54,0
N22DCVT828,Sunday,07:00,3.4,sunny,bike,15.6,0.59,7.38,yes,06:46,07:01,1
N22DCDK807,Friday,07:00,2.7,cloudy,bike,18.9,0.87,7.41,yes,06:51,07:05,6
N22DCCN143,Sunday,07:00,4.4,sunny,bike,23.5,0.53,7.35,yes,06:48,06:58,0
N22DCDK795,Saturday,07:00,0.7,windy,walk,5.6,0.69,8.22,no,06:52,07:01,1
N22DCIT051,Sunday,07:00,4.1,cloudy,bike,15.2,0.89,6.46,yes,06:43,06:49,0
N22DCCN219,Thursday,07:00,3.7,cloudy,bike,21.9,0.5,5.76,no,06:49,06:56,0
N22DCCN061,Saturday,07:00,0.8,sunny,walk,4.3,0.58,6.8,yes,06:48,07:02,3
N22DCVT887,Tuesday,07:00,8.8,sunny,bus,30.8,0.51,5.76,no,06:42,06:57,0
N22DCVT839,Tuesday,07:00,9.3,rainy,bus,20.6,0.85,7.93,yes,06:32,06:38,0
N22DCME932,Tuesday,07:00,3.1,cloudy,bike,23.9,0.7,6.23,yes,06:52,06:54,0
N22DCIT616,Thursday,07:00,7.0,sunny,bus,23.8,0.74,8.73,yes,06:42,06:48,0
N22DCME190,Friday,07:00,9.9,sunny,bus,35.4,0.6,5.3,yes,06:43,06:57,0
N22DCIT661,Friday,07:00,2.7,sunny,bike,17.5,0.7,6.49,no,06:50,06:57,0
N22DCVT604,Monday,07:00,8.2,windy,bus,21.0,0.72,5.82,yes,06:36,06:48,0
N22DCVT258,Sunday,07:00,9.9,sunny,bus,38.5,0.7,7.89,yes,06:44,06:54,0
N22DCVT020,Sunday,07:00,9.4,cloudy,bus,32.9,0.94,8.15,yes,06:42,06:45,0
N22DCCN782,Tuesday,07:00,6.7,rainy,bus,29.3,0.74,8.33,yes,06:46,06:59,0
N22DCDK686,Friday,07:00,2.0,windy,bike,19.0,0.71,5.52,no,06:53,07:04,5
N22DCDK988,Thursday,07:00,5.0,cloudy,bike,22.3,0.57,8.03,no,06:46,06:58,0
N22DCVT178,Saturday,07:00,4.7,windy,bike,17.4,0.95,8.23,no,06:43,06:49,0
N22DCVT962,Friday,07:00,2.0,sunny,bike,15.4,0.93,6.6,yes,06:52,06:53,0
N22DCME216,Sunday,07:00,4.4,windy,bike,16.9,0.74,8.78,yes,06:44,06:47,0
N22DCME702,Sunday,07:00,1.7,cloudy,walk,5.2,0.52,6.12,yes,06:40,06:41,0
N22DCVT763,Tuesday,07:00,2.6,rainy,bike,22.4,0.61,6.27,yes,06:53,06:53,0
N22DCDK731,Wednesday,07:00,5.4,sunny,bus,38.0,0.98,8.54,yes,06:51,06:57,0
N22DCME624,Tuesday,07:00,8.0,windy,bus,35.3,0.82,5.81,yes,06:46,06:47,0
N22DCDK958,Sunday,07:00,9.9,sunny,bus,39.3,0.99,7.78,yes,06:44,06:45,0
N22DCCN618,Saturday,07:00,5.3,sunny,bus,22.2,0.65,7.05,yes,06:45,06:46,0
N22DCCN772,Monday,07:00,8.9,rainy,bus,31.8,0.72,8.71,no,06:43,06:47,0
N22DCDK887,Monday,07:00,4.6,rainy,bike,24.8,0.68,5.39,yes,06:48,06:59,0
N22DCME287,Wednesday,07:00,4.4,windy,bike,23.7,0.55,5.1,yes,06:48,06:54,0
N22DCDK806,Thursday,07:00,7.8,sunny,bus,22.4,0.55,5.79,yes,06:39,06:47,0
N22DCCN518,Tuesday,07:00,1.1,sunny,walk,5.8,0.78,7.81,no,06:48,06:58,0
N22DCCN138,Saturday,07:00,6.4,sunny,bus,38.5,0.97,5.58,yes,06:50,06:53,0
N22DCME387,Tuesday,07:00,5.9,cloudy,bus,23.9,0.57,7.77,yes,06:45,06:58,0
N22DCVT754,Sunday,07:00,3.9,windy,bike,17.6,0.81,5.82,no,06:46,06:54,0
N22DCIT023,Wednesday,07:00,2.2,sunny,bike,23.3,0.8,5.63,no,06:54,06:57,0
N22DCCN063,Tuesday,07:00,7.5,cloudy,bus,28.9,0.71,7.03,no,06:44,06:55,0
N22DCDK836,Friday,07:00,6.1,sunny,bus,23.6,0.81,7.25,yes,06:44,06:59,0
N22DCME488,Friday,07:00,1.4,sunny,walk,4.1,0.6,6.93,yes,06:39,06:45,0
N22DCCN652,Sunday,07:00,9.1,sunny,bus,20.8,0.55,7.93,yes,06:33,06:35,0
N22DCME025,Tuesday,07:00,7.5,cloudy,bus,39.9,0.55,5.28,yes,06:48,06:51,0
N22DCDK484,Thursday,07:00,2.9,sunny,bike,18.7,0.59,6.88,yes,06:50,06:54,0
N22DCME519,Thursday,07:00,1.2,sunny,walk,4.1,0.75,7.54,yes,06:42,06:52,0
N22DCDK661,Monday,07:00,4.5,cloudy,bike,15.9,0.81,7.16,yes,06:43,06:48,0
N22DCME023,Saturday,07:00,2.1,rainy,bike,16.5,0.88,6.49,yes,06:52,06:57,0
N22DCDK797,Sunday,07:00,1.1,sunny,walk,4.8,0.82,8.37,yes,06:46,06:59,0
N22DCCN205,Tuesday,07:00,4.3,sunny,bike,15.5,0.76,6.73,yes,06:43,06:46,0
N22DCDK752,Tuesday,07:00,9.7,rainy,bus,23.6,0.52,6.16,yes,06:35,06:41,0
N22DCDK777,Monday,07:00,5.1,windy,bus,39.2,0.51,8.78,yes,06:52,06:59,0
N22DCDK404,Tuesday,07:00,3.2,sunny,bike,17.0,0.52,6.53,yes,06:48,06:53,0
N22DCIT451,Wednesday,07:00,8.3,rainy,bus,25.7,0.54,7.45,yes,06:40,06:53,0
N22DCCN902,Tuesday,07:00,2.2,rainy,bike,18.7,0.52,7.66,yes,06:52,07:04,4
