student_id, weekday  , class_start_time, distance_km, weather, transport_mode, avg_speed_kmh, habitual_punctuality, sleep_hours, alarm_used, expected_time, check_in_time, late_minutes
N22DCDK171, Sunday   , 07:00           ,         1.4, rainy  , walk          ,           4.2,                 0.72,        5.32, yes       , 06:40        , 06:49        ,            0
N22DCDK854, Thursday , 07:00           ,         5.1, sunny  , bus           ,          39.2,                 0.78,        8.95, yes       , 06:52        , 07:02        ,            2
N22DCCN538, Wednesday, 07:00           ,         9.6, rainy  , bus           ,          27.7,                 0.76,        6.06, yes       , 06:39        , 06:42        ,            0
N22DCCN896, Thursday , 07:00           ,         4.3, rainy  , bike          ,          19.4,                 0.97,        8.87, no        , 06:46        , 06:55        ,            0
N22DCIT139, Saturday , 07:00           ,         7.8, rainy  , bus           ,          36.5,                 0.53,        5.39, yes       , 06:47        , 06:51        ,            0
N22DCCN909, Saturday , 07:00           ,         7.2, sunny  , bus           ,          23.2,                 0.85,        7.54, yes       , 06:41        , 06:48        ,            0
N22DCVT625, Tuesday  , 07:00           ,         3.5, windy  , bike          ,          19.0,                 0.55,        7.71, no        , 06:48        , 06:54        ,            0
N22DCIT655, Monday   , 07:00           ,         2.3, sunny  , bike          ,          25.0,                 0.93,        8.95, no        , 06:54        , 07:03        ,            3
N22DCIT285, Thursday , 07:00           ,         9.3, sunny  , bus           ,          22.3,                 0.66,        5.38, yes       , 06:34        , 06:37        ,            0
N22DCCN486, Sunday   , 07:00           ,         8.1, sunny  , bus           ,          37.2,                 0.75,        6.68, yes       , 06:46        , 06:47        ,            0
N22DCCN400, Sunday   , 07:00           ,         2.6, windy  , bike          ,          20.0,                 0.96,        6.59, yes       , 06:52        , 07:01        ,            1
N22DCIT341, Friday   , 07:00           ,        10.0, rainy  , bus           ,          36.2,                 0.61,        6.36, yes       , 06:43        , 06:46        ,            0
N22DCVT066, Friday   , 07:00           ,         4.7, sunny  , bike          ,          18.7,                 0.73,        6.99, yes       , 06:44        , 06:54        ,            0
N22DCDK010, Saturday , 07:00           ,         3.1, sunny  , bike          ,          22.1,                 0.65,        7.63, yes       , 06:51        , 06:55        ,            0
N22DCDK066, Tuesday  , 07:00           ,         4.7, cloudy , bike          ,          20.1,                 0.85,        5.01, yes       , 06:45        , 06:47        ,            0
N22DCME464, Tuesday  , 07:00           ,         7.8, rainy  , bus           ,          39.7,                 0.6 ,        6.54, no        , 06:48        , 07:00        ,            0
N22DCME514, Sunday   , 07:00           ,         8.6, cloudy , bus           ,          28.0,                 0.61,        8.66, yes       , 06:41        , 06:44        ,            0
N22DCIT973, Wednesday, 07:00           ,         8.7, cloudy , bus           ,          31.7,                 0.74,        7.91, no        , 06:43        , 06:45        ,            0
N22DCDK166, Thursday , 07:00           ,         2.2, rainy  , bike          ,          24.8,                 0.64,        8.07, yes       , 06:54        , 07:02        ,            2
N22DCCN913, Thursday , 07:00           ,         1.1, windy  , walk          ,           4.3,                 0.61,        6.77, no        , 06:44        , 06:49        ,            0
N22DCIT704, Sunday   , 07:00           ,         7.9, cloudy , bus           ,          35.2,                 0.74,        5.45, yes       , 06:46        , 06:47        ,            0
N22DCVT859, Sunday   , 07:00           ,         8.2, rainy  , bus           ,          33.9,                 0.84,        5.45, yes       , 06:45        , 06:53        ,            0
N22DCCN333, Sunday   , 07:00           ,         3.5, sunny  , bike          ,          24.3,                 0.74,        5.37, yes       , 06:51        , 07:02        ,            3
N22DCDK844, Sunday   , 07:00           ,         2.4, sunny  , bike          ,          23.0,                 0.78,        8.7 , yes       , 06:53        , 06:54        ,            0
N22DCDK207, Friday   , 07:00           ,         6.5, sunny  , bus           ,          25.9,                 0.9 ,        8.94, yes       , 06:44        , 06:50        ,            0
N22DCIT049, Friday   , 07:00           ,         8.0, sunny  , bus           ,          24.3,                 0.65,        8.61, yes       , 06:40        , 06:47        ,            0
N22DCVT639, Friday   , 07:00           ,         8.4, sunny  , bus           ,          30.3,                 0.69,        8.59, yes       , 06:43        , 06:53        ,            0
N22DCIT708, Sunday   , 07:00           ,         5.8, cloudy , bus           ,          28.9,                 0.85,        5.62, no        , 06:47        , 06:56        ,            0
N22DCME048, Monday   , 07:00           ,         5.9, sunny  , bus           ,          35.2,                 0.96,        8.17, yes       , 06:49        , 06:55        ,            0
N22DCDK069, Thursday , 07:00           ,         9.8, rainy  , bus           ,          27.1,                 0.88,        5.51, yes       , 06:38        , 06:50        ,            0
N22DCME983, Sunday   , 07:00           ,         2.9, windy  , bike          ,          23.9,                 0.61,        6.85, yes       , 06:52        , 07:06        ,            7
N22DCCN646, Tuesday  , 07:00           ,         4.3, sunny  , bike          ,          15.0,                 0.74,        5.47, yes       , 06:42        , 06:45        ,            0
N22DCIT009, Saturday , 07:00           ,         4.7, windy  , bike          ,          18.3,                 0.61,        6.99, yes       , 06:44        , 06:59        ,            0
N22DCIT057, Saturday , 07:00           ,         1.8, sunny  , walk          ,           4.5,                 0.64,        5.06, yes       , 06:36        , 06:37        ,            0
N22DCME205, Friday   , 07:00           ,         8.3, sunny  , bus           ,          28.4,                 0.68,        7.23, yes       , 06:42        , 06:44        ,            0
N22DCDK620, Thursday , 07:00           ,         9.1, windy  , bus           ,          28.9,                 0.7 ,        6.5 , yes       , 06:41        , 06:46        ,            0
N22DCDK364, Thursday , 07:00           ,         4.3, sunny  , bike          ,          24.0,                 0.75,        7.76, yes       , 06:49        , 07:02        ,            3
N22DCME349, Tuesday  , 07:00           ,         3.2, sunny  , bike          ,          18.4,                 0.93,        6.32, yes       , 06:49        , 06:58        ,            0
N22DCIT946, Friday   , 07:00           ,         8.2, sunny  , bus           ,          31.7,                 0.53,        6.87, yes       , 06:44        , 06:44        ,            0
N22DCCN980, Sunday   , 07:00           ,         7.8, rainy  , bus           ,          22.0,                 0.88,        8.27, yes       , 06:38        , 06:53        ,            0
N22DCVT238, Friday   , 07:00           ,         4.8, cloudy , bike          ,          19.3,                 0.68,        5.05, yes       , 06:45        , 06:57        ,            0
N22DCME523, Wednesday, 07:00           ,         1.5, windy  , walk          ,           5.3,                 0.97,        5.26, yes       , 06:43        , 06:44        ,            0
N22DCCN158, Sunday   , 07:00           ,         6.7, windy  , bus           ,          21.3,                 0.53,        8.77, yes       , 06:41        , 06:52        ,            0
N22DCCN792, Sunday   , 07:00           ,         3.5, rainy  , bike          ,          15.2,                 0.51,        7.91, yes       , 06:46        , 06:52        ,            0
N22DCME649, Wednesday, 07:00           ,         9.0, sunny  , bus           ,          25.4,                 0.73,        8.97, yes       , 06:38        , 06:52        ,            0
N22DCCN370, Monday   , 07:00           ,         9.5, sunny  , bus           ,          26.5,                 0.82,        8.37, no        , 06:38        , 06:53        ,            0
N22DCIT961, Wednesday, 07:00           ,         8.1, rainy  , bus           ,          34.8,                 0.87,        5.51, no        , 06:46        , 06:48        ,            0
N22DCCN755, Wednesday, 07:00           ,         4.3, windy  , bike          ,          16.8,                 0.79,        6.32, yes       , 06:44        , 06:45        ,            0
N22DCVT543, Thursday , 07:00           ,         9.0, sunny  , bus           ,          39.4,                 0.55,        6.5 , yes       , 06:46        , 07:00        ,            0
N22DCVT067, Saturday , 07:00           ,         9.4, rainy  , bus           ,          31.6,                 0.9 ,        6.68, yes       , 06:42        , 06:52        ,            0
N22DCME973, Saturday , 07:00           ,         8.2, rainy  , bus           ,          34.6,                 0.91,        8.8 , yes       , 06:45        , 07:00        ,            0
N22DCIT429, Saturday , 07:00           ,         2.4, rainy  , bike          ,          16.2,                 0.65,        8.13, yes       , 06:51        , 06:53        ,            0
N22DCME399, Wednesday, 07:00           ,         9.3, sunny  , bus           ,          23.4,                 0.89,        7.45, yes       , 06:36        , 06:45        ,            0
N22DCIT955, Monday   , 07:00           ,         7.7, sunny  , bus           ,          34.6,                 0.89,        6.87, no        , 06:46        , 06:56        ,            0
N22DCDK142, Saturday , 07:00           ,         3.0, sunny  , bike          ,          17.3,                 0.5 ,        8.2 , yes       , 06:49        , 06:50        ,            0
N22DCVT545, Tuesday  , 07:00           ,         4.5, sunny  , bike          ,          16.5,                 0.52,        5.43, yes       , 06:43        , 06:50        ,            0
N22DCCN514, Wednesday, 07:00           ,         4.4, rainy  , bike          ,          15.7,                 0.79,        7.24, yes       , 06:43        , 06:53        ,            0
N22DCCN709, Wednesday, 07:00           ,         8.0, sunny  , bus           ,          20.4,                 0.97,        6.76, no        , 06:36        , 06:48        ,            0
N22DCCN102, Saturday , 07:00           ,         7.4, cloudy , bus           ,          23.2,                 0.94,        7.4 , yes       , 06:40        , 06:50        ,            0
N22DCME425, Wednesday, 07:00           ,         1.4, rainy  , walk          ,           5.7,                 0.9 ,        6.63, no        , 06:45        , 06:46        ,            0
N22DCVT809, Monday   , 07:00           ,         5.9, windy  , bus           ,          37.1,                 0.8 ,        6.08, yes       , 06:50        , 07:03        ,            3
N22DCME250, Sunday   , 07:00           ,         3.5, cloudy , bike          ,          16.5,                 0.77,        7.37, yes       , 06:47        , 06:55        ,            0
N22DCIT575, Sunday   , 07:00           ,         1.8, sunny  , walk          ,           4.2,                 0.99,        6.83, yes       , 06:34        , 06:43        ,            0
N22DCDK388, Friday   , 07:00           ,         5.3, windy  , bus           ,          22.4,                 0.52,        7.35, yes       , 06:45        , 06:45        ,            0
N22DCVT890, Friday   , 07:00           ,         0.5, sunny  , walk          ,           4.3,                 0.52,        8.17, no        , 06:53        , 07:00        ,            1
N22DCVT988, Thursday , 07:00           ,         1.3, sunny  , walk          ,           5.5,                 0.82,        7.47, yes       , 06:45        , 06:53        ,            0
N22DCDK942, Monday   , 07:00           ,         1.4, sunny  , walk          ,           6.0,                 0.97,        7.46, yes       , 06:46        , 06:47        ,            0
N22DCCN506, Tuesday  , 07:00           ,         9.7, rainy  , bus           ,          21.8,                 0.95,        5.99, yes       , 06:33        , 06:38        ,            0
N22DCDK923, Sunday   , 07:00           ,         2.5, sunny  , bike          ,          15.1,                 0.75,        6.21, yes       , 06:50        , 06:52        ,            0
N22DCVT658, Saturday , 07:00           ,         5.8, sunny  , bus           ,          35.2,                 0.8 ,        7.28, yes       , 06:50        , 06:58        ,            0
N22DCVT669, Saturday , 07:00           ,         6.8, cloudy , bus           ,          36.1,                 0.6 ,        5.93, yes       , 06:48        , 06:59        ,            0
N22DCME621, Friday   , 07:00           ,         6.0, rainy  , bus           ,          29.1,                 0.72,        5.43, no        , 06:47        , 06:56        ,            0
N22DCCN661, Friday   , 07:00           ,         3.1, windy  , bike          ,          20.5,                 0.52,        5.32, yes       , 06:50        , 07:00        ,            1
N22DCVT709, Monday   , 07:00           ,         5.1, cloudy , bus           ,          39.4,                 0.54,        7.89, yes       , 06:52        , 06:57        ,            0
N22DCIT362, Saturday , 07:00           ,         9.6, cloudy , bus           ,          35.2,                 0.59,        5.7 , yes       , 06:43        , 06:48        ,            0
N22DCDK955, Monday   , 07:00           ,         0.8, sunny  , walk          ,           5.7,                 0.93,        7.2 , yes       , 06:51        , 06:56        ,            0
N22DCVT525, Tuesday  , 07:00           ,         7.2, windy  , bus           ,          20.4,                 0.56,        8.38, yes       , 06:38        , 06:46        ,            0
N22DCVT813, Thursday , 07:00           ,         7.9, sunny  , bus           ,          38.5,                 0.97,        7.04, yes       , 06:47        , 06:49        ,            0
N22DCME677, Friday   , 07:00           ,         8.2, cloudy , bus           ,          32.8,                 0.98,        5.31, yes       , 06:45        , 06:46        ,            0
N22DCIT493, Friday   , 07:00           ,         1.4, rainy  , walk          ,           4.1,                 0.89,        5.65, no        , 06:39        , 06:45        ,            0
N22DCME793, Friday   , 07:00           ,         3.6, rainy  , bike          ,          24.2,                 0.52,        5.97, yes       , 06:51        , 06:51        ,            0
N22DCME666, Monday   , 07:00           ,         3.5, cloudy , bike          ,          22.4,                 0.96,        7.53, no        , 06:50        , 07:00        ,            0
N22DCVT897, Monday   , 07:00           ,         1.0, sunny  , walk          ,           5.3,                 0.91,        6.09, yes       , 06:48        , 06:58        ,            0
N22DCME801, Monday   , 07:00           ,         5.7, cloudy , bus           ,          22.2,                 0.73,        6.31, yes       , 06:44        , 06:55        ,            0
N22DCDK343, Thursday , 07:00           ,         2.1, sunny  , bike          ,          15.5,                 0.97,        7.36, no        , 06:51        , 07:00        ,            0
N22DCIT807, Saturday , 07:00           ,         6.6, rainy  , bus           ,          28.3,                 0.99,        5.67, yes       , 06:46        , 06:51        ,            0
N22DCIT380, Thursday , 07:00           ,         9.3, sunny  , bus           ,          24.6,                 0.72,        6.51, yes       , 06:37        , 06:41        ,            0
N22DCVT090, Friday   , 07:00           ,         2.6, windy  , bike          ,          22.2,                 0.65,        6.18, yes       , 06:52        , 06:53        ,            0
N22DCVT465, Friday   , 07:00           ,         7.4, rainy  , bus           ,          20.7,                 0.7 ,        5.3 , yes       , 06:38        , 06:50        ,            0
N22DCIT093, Friday   , 07:00           ,         8.2, sunny  , bus           ,          27.8,                 0.78,        8.11, yes       , 06:42        , 06:53        ,            0
N22DCDK682, Sunday   , 07:00           ,         3.5, sunny  , bike          ,          24.7,                 0.51,        5.91, yes       , 06:51        , 07:04        ,            5
N22DCCN988, Wednesday, 07:00           ,         1.1, sunny  , walk          ,           4.4,                 0.97,        6.99, yes       , 06:45        , 06:59        ,            0
N22DCCN279, Wednesday, 07:00           ,         1.0, sunny  , walk          ,           4.8,                 0.51,        8.28, yes       , 06:47        , 06:55        ,            0
N22DCCN158, Wednesday, 07:00           ,         0.7, cloudy , walk          ,           4.7,                 0.63,        6.14, yes       , 06:51        , 07:04        ,            4
N22DCCN670, Sunday   , 07:00           ,         3.5, sunny  , bike          ,          20.3,                 0.55,        5.92, no        , 06:49        , 06:51        ,            0
N22DCIT433, Friday   , 07:00           ,         1.5, rainy  , walk          ,           5.2,                 0.81,        6.91, yes       , 06:42        , 06:52        ,            0
N22DCME813, Tuesday  , 07:00           ,         0.5, cloudy , walk          ,           5.6,                 0.75,        6.53, yes       , 06:54        , 06:59        ,            0
N22DCVT876, Thursday , 07:00           ,         8.7, sunny  , bus           ,          21.2,                 0.68,        5.14, yes       , 06:35        , 06:46        ,            0
N22DCVT226, Sunday   , 07:00           ,         9.0, sunny  , bus           ,          33.3,                 0.89,        8.85, yes       , 06:43        , 06:57        ,            0
N22DCCN531, Tuesday  , 07:00           ,         7.2, cloudy , bus           ,          30.9,                 0.69,        8.61, no        , 06:46        , 06:49        ,            0
N22DCDK967, Thursday , 07:00           ,         9.3, windy  , bus           ,          21.1,                 0.87,        6.64, yes       , 06:33        , 06:47        ,            0
N22DCDK802, Sunday   , 07:00           ,         9.5, sunny  , bus           ,          39.3,                 0.63,        8.87, yes       , 06:45        , 06:58        ,            0
N22DCDK746, Saturday , 07:00           ,         6.3, windy  , bus           ,          38.4,                 0.96,        6.48, yes       , 06:50        , 06:57        ,            0
N22DCME977, Friday   , 07:00           ,         7.5, rainy  , bus           ,          35.3,                 0.88,        8.98, yes       , 06:47        , 06:55        ,            0
N22DCVT617, Thursday , 07:00           ,         7.6, cloudy , bus           ,          30.7,                 0.63,        7.65, yes       , 06:45        , 06:59        ,            0
N22DCCN974, Thursday , 07:00           ,         1.0, cloudy , walk          ,           4.4,                 0.74,        8.69, yes       , 06:46        , 06:48        ,            0
N22DCIT694, Friday   , 07:00           ,         0.7, cloudy , walk          ,           4.7,                 0.8 ,        7.95, yes       , 06:51        , 06:53        ,            0
N22DCME118, Friday   , 07:00           ,         2.7, cloudy , bike          ,          17.6,                 0.97,        6.79, yes       , 06:50        , 07:04        ,            4
N22DCVT002, Thursday , 07:00           ,         7.5, windy  , bus           ,          34.8,                 0.67,        5.52, yes       , 06:47        , 06:53        ,            0
N22DCCN799, Friday   , 07:00           ,         1.9, cloudy , walk          ,           5.5,                 0.78,        7.4 , no        , 06:39        , 06:45        ,            0
N22DCIT261, Saturday , 07:00           ,         2.9, sunny  , bike          ,          24.8,                 0.53,        7.55, no        , 06:52        , 06:54        ,            0
N22DCVT429, Tuesday  , 07:00           ,         2.6, rainy  , bike          ,          24.1,                 0.92,        8.16, yes       , 06:53        , 07:05        ,            6
N22DCDK849, Tuesday  , 07:00           ,         1.7, sunny  , walk          ,           5.8,                 0.71,        5.85, yes       , 06:42        , 06:54        ,            0
N22DCME560, Monday   , 07:00           ,         8.6, rainy  , bus           ,          20.5,                 0.53,        7.85, yes       , 06:34        , 06:37        ,            0
N22DCVT040, Thursday , 07:00           ,         7.6, sunny  , bus           ,          37.6,                 0.93,        8.86, yes       , 06:47        , 07:01        ,            2
N22DCDK801, Thursday , 07:00           ,         2.6, sunny  , bike          ,          16.4,                 0.56,        7.77, yes       , 06:50        , 06:53        ,            0
N22DCME103, Saturday , 07:00           ,         9.4, cloudy , bus           ,          22.0,                 0.6 ,        5.71, yes       , 06:34        , 06:39        ,            0
N22DCME401, Tuesday  , 07:00           ,         7.7, sunny  , bus           ,          28.0,                 0.55,        8.28, no        , 06:43        , 06:54        ,            0
N22DCIT034, Friday   , 07:00           ,         9.7, rainy  , bus           ,          31.2,                 0.53,        8.65, yes       , 06:41        , 06:47        ,            0
N22DCME416, Monday   , 07:00           ,         4.4, sunny  , bike          ,          19.0,                 0.84,        5.54, no        , 06:46        , 06:55        ,            0
N22DCVT436, Sunday   , 07:00           ,         4.5, sunny  , bike          ,          22.4,                 0.81,        7.65, yes       , 06:47        , 06:57        ,            0
N22DCVT110, Monday   , 07:00           ,         6.5, sunny  , bus           ,          27.8,                 0.98,        7.37, no        , 06:45        , 06:56        ,            0
N22DCVT371, Sunday   , 07:00           ,         8.0, windy  , bus           ,          24.6,                 0.53,        7.5 , yes       , 06:40        , 06:45        ,            0
N22DCIT437, Monday   , 07:00           ,         0.6, rainy  , walk          ,           5.3,                 0.63,        7.9 , yes       , 06:53        , 07:06        ,            6
N22DCCN135, Sunday   , 07:00           ,         1.4, sunny  , walk          ,           5.1,                 0.84,        8.32, yes       , 06:43        , 06:45        ,            0
N22DCVT585, Thursday , 07:00           ,         6.3, sunny  , bus           ,          38.2,                 0.94,        7.07, yes       , 06:50        , 07:01        ,            2
