student_id,weekday,distance_km,weather,transport_mode,avg_speed_kmh,habitual_punctuality,sleep_hours,alarm_used,hour_start_time,traffic_condition,preparation_time,unexpected_event,class_importance,is_late
N22DCQCN070,Wednesday,4.6,cloudy,bus,16.9,0.5,8.1,yes,8,moderate,38.0,no,low,no
N22DCQCN071,Wednesday,19.5,sunny,bike,20.5,1.0,6.0,yes,13,moderate,44.0,no,low,yes
N22DCQCN072,Wednesday,14.8,cloudy,bike,18.1,0.8,8.2,yes,7,light,20.0,no,medium,no
N22DCQCN073,Tuesday,19.8,sunny,bus,27.2,0.98,4.9,yes,9,moderate,19.0,no,low,yes
N22DCQCN074,Wednesday,6.8,cloudy,bus,27.8,0.63,7.5,no,14,moderate,18.0,no,high,no
N22DCQCN075,Monday,1.5,sunny,walk,5.8,0.26,7.7,yes,10,light,34.0,no,high,no
N22DCQCN076,Monday,10.1,sunny,bus,24.6,0.91,8.3,yes,10,light,29.0,no,medium,no
N22DCQCN077,Tuesday,1.6,rainy,bike,14.8,0.83,7.6,yes,15,light,12.0,yes,medium,no
N22DCQCN078,Wednesday,1.3,sunny,bike,18.6,0.87,8.0,yes,8,moderate,38.0,no,high,no
N22DCQCN079,Thursday,7.9,sunny,bike,19.0,0.7,5.9,yes,14,light,44.0,no,high,no
N22DCQCN080,Monday,7.9,cloudy,bus,13.6,0.63,7.5,yes,10,light,32.0,yes,low,yes
N22DCQCN081,Monday,1.0,cloudy,train,43.2,0.72,5.7,no,15,light,42.0,no,low,no
N22DCQCN082,Thursday,4.8,cloudy,bus,24.6,1.0,6.1,yes,7,light,57.0,no,low,no
N22DCQCN083,Wednesday,30.0,cloudy,bus,23.4,0.8,4.7,yes,9,moderate,27.0,no,high,yes
N22DCQCN084,Thursday,1.0,sunny,bus,23.6,0.81,5.8,yes,7,light,30.0,no,high,no
N22DCQCN085,Wednesday,12.1,sunny,car,36.9,0.78,9.7,no,14,heavy,10.0,no,medium,no
N22DCQCN086,Tuesday,3.4,sunny,bike,17.7,0.49,7.9,yes,8,moderate,60.0,no,high,yes
N22DCQCN087,Monday,13.6,windy,bike,26.1,0.75,6.8,no,15,moderate,36.0,no,high,yes
N22DCQCN088,Tuesday,16.7,sunny,train,54.3,0.52,4.0,yes,8,light,13.0,no,high,no
N22DCQCN089,Friday,7.4,sunny,bus,28.1,0.58,4.0,yes,13,moderate,29.0,no,high,no
N22DCQCN090,Friday,10.3,sunny,train,59.8,0.7,10.0,no,10,moderate,30.0,no,high,no
N22DCQCN091,Tuesday,12.0,sunny,walk,5.3,0.56,7.9,yes,14,light,31.0,no,medium,yes
N22DCQCN092,Tuesday,19.9,rainy,bike,20.1,0.63,10.0,no,9,light,33.0,no,high,yes
N22DCQCN093,Monday,2.7,sunny,walk,5.9,0.91,8.6,yes,7,moderate,17.0,no,medium,no
N22DCQCN094,Friday,20.9,sunny,train,52.2,0.94,5.5,yes,8,heavy,21.0,no,medium,yes
N22DCQCN095,Monday,11.3,cloudy,bus,22.0,1.0,6.9,yes,10,light,29.0,no,high,no
N22DCQCN096,Tuesday,1.0,sunny,bike,16.2,0.63,6.2,no,9,moderate,22.0,no,high,no
N22DCQCN097,Monday,4.0,cloudy,car,42.1,0.61,9.0,yes,13,heavy,40.0,no,high,no
N22DCQCN098,Monday,1.1,sunny,walk,5.0,1.0,6.3,no,8,heavy,38.0,no,low,no
N22DCQCN099,Monday,19.9,sunny,bus,16.8,0.62,7.8,no,15,light,15.0,no,medium,yes
N22DCQCN100,Monday,15.3,cloudy,bike,16.3,0.53,8.4,yes,9,heavy,25.0,no,medium,yes
N22DCQCN101,Monday,9.2,cloudy,bike,20.7,0.49,8.5,yes,9,moderate,10.0,no,medium,no
N22DCQCN102,Wednesday,11.1,cloudy,bus,27.2,0.43,6.9,yes,14,moderate,53.0,yes,medium,yes
N22DCQCN103,Monday,9.0,sunny,train,50.4,0.7,7.6,no,7,heavy,37.0,no,medium,no
N22DCQCN104,Thursday,1.0,sunny,bike,19.7,0.71,4.0,yes,14,moderate,18.0,no,medium,no
N22DCQCN105,Tuesday,1.0,sunny,car,34.2,0.29,6.4,yes,13,moderate,41.0,no,medium,no
N22DCQCN106,Wednesday,16.1,sunny,bus,33.7,0.74,6.6,yes,8,moderate,43.0,no,high,yes
N22DCQCN107,Monday,11.5,sunny,bus,22.6,0.6,7.7,yes,8,heavy,40.0,no,medium,yes
N22DCQCN108,Wednesday,1.2,rainy,train,57.9,0.1,7.3,yes,9,moderate,44.0,no,high,no
N22DCQCN109,Thursday,1.0,sunny,bus,20.7,0.93,8.1,no,9,moderate,41.0,no,high,no
N22DCQCN110,Thursday,9.4,sunny,bike,19.2,0.85,6.5,yes,7,moderate,15.0,no,high,no
N22DCQCN111,Tuesday,29.0,windy,bike,18.9,0.9,6.9,yes,16,moderate,29.0,yes,high,yes
N22DCQCN112,Wednesday,7.7,windy,bus,26.1,0.5,5.3,yes,15,moderate,18.0,no,medium,no
N22DCQCN113,Thursday,12.6,sunny,car,30.5,0.5,8.2,yes,8,moderate,10.0,no,medium,no
N22DCQCN114,Monday,1.0,rainy,bike,19.2,1.0,5.4,yes,14,moderate,39.0,no,low,no
N22DCQCN115,Tuesday,10.1,cloudy,walk,6.5,0.72,7.5,yes,8,moderate,25.0,no,high,yes
N22DCQCN116,Monday,11.1,sunny,bike,21.0,0.89,5.9,no,9,heavy,51.0,no,high,no
N22DCQCN117,Tuesday,6.8,rainy,train,60.0,0.44,8.4,yes,10,light,24.0,no,low,no
N22DCQCN118,Wednesday,22.3,sunny,bus,26.3,0.65,6.6,yes,8,moderate,35.0,no,high,yes
N22DCQCN119,Friday,12.5,cloudy,car,31.6,0.62,4.0,yes,13,moderate,26.0,no,medium,no
N22DCQCN120,Friday,5.4,windy,bike,18.2,0.76,7.2,yes,13,moderate,23.0,no,high,no
N22DCQCN121,Thursday,5.5,sunny,bike,19.5,0.52,5.6,yes,13,light,24.0,no,medium,no
N22DCQCN122,Tuesday,8.0,sunny,bus,30.1,0.68,6.7,no,16,moderate,30.0,no,medium,no
N22DCQCN123,Monday,8.9,cloudy,bus,27.8,0.73,7.9,yes,9,moderate,10.0,yes,low,no
N22DCQCN124,Monday,3.3,sunny,bus,25.8,0.93,6.8,no,14,light,17.0,no,high,no
N22DCQCN125,Wednesday,1.0,sunny,car,33.8,0.78,6.4,yes,7,light,60.0,no,medium,no
N22DCQCN126,Thursday,9.1,sunny,bike,15.2,0.71,5.1,no,8,light,36.0,no,medium,yes
N22DCQCN127,Friday,5.2,cloudy,train,55.5,0.58,9.0,yes,10,light,34.0,no,medium,no
N22DCQCN128,Friday,17.9,cloudy,bus,20.9,0.96,6.9,yes,15,light,16.0,no,medium,no
N22DCQCN129,Monday,10.7,cloudy,bike,15.1,0.44,6.7,no,7,heavy,17.0,no,low,yes
N22DCQCN130,Tuesday,1.0,windy,car,27.1,0.69,8.7,yes,10,moderate,22.0,no,low,no
N22DCQCN131,Thursday,9.1,cloudy,train,58.7,0.73,8.8,yes,7,light,24.0,no,medium,no
N22DCQCN132,Wednesday,6.0,cloudy,bike,11.7,0.72,8.4,yes,7,light,10.0,no,low,no
N22DCQCN133,Monday,12.9,cloudy,walk,5.0,0.78,9.9,yes,15,moderate,17.0,no,high,yes
N22DCQCN134,Monday,1.1,rainy,car,30.1,0.54,7.8,yes,15,light,24.0,no,low,no
N22DCQCN135,Wednesday,15.4,sunny,bus,27.6,0.89,7.4,yes,8,moderate,30.0,no,medium,no
N22DCQCN136,Thursday,2.5,cloudy,train,40.1,0.58,6.2,yes,13,moderate,59.0,yes,high,no
N22DCQCN137,Wednesday,3.8,sunny,bike,19.5,0.75,7.7,yes,8,moderate,18.0,no,medium,no
N22DCQCN138,Monday,15.7,cloudy,bike,14.8,0.64,7.2,yes,9,heavy,24.0,no,high,yes
N22DCQCN139,Thursday,17.7,cloudy,car,45.8,0.44,6.2,yes,7,light,45.0,no,high,no
N22DCQCN140,Wednesday,2.2,cloudy,train,54.7,0.91,7.6,yes,13,light,23.0,no,medium,no
N22DCQCN141,Wednesday,15.0,sunny,bus,27.1,0.6,7.8,yes,16,light,49.0,no,high,yes
N22DCQCN142,Friday,1.0,sunny,car,37.2,0.77,6.8,no,13,light,21.0,no,high,no
N22DCQCN143,Wednesday,2.4,sunny,car,33.0,0.7,6.9,yes,15,light,26.0,no,high,no
N22DCQCN144,Wednesday,17.1,sunny,bus,26.3,0.72,8.8,yes,8,moderate,37.0,no,low,yes
N22DCQCN145,Monday,1.0,rainy,train,60.0,0.96,9.4,no,10,light,31.0,no,high,no
N22DCQCN146,Wednesday,16.9,sunny,car,39.2,0.78,8.6,yes,8,moderate,30.0,no,high,no
N22DCQCN147,Thursday,11.7,rainy,walk,5.0,0.56,8.3,yes,15,light,36.0,no,high,yes
N22DCQCN148,Tuesday,7.9,sunny,train,55.9,0.73,5.5,yes,8,moderate,22.0,no,high,no
N22DCQCN149,Wednesday,3.2,cloudy,bike,16.4,0.72,6.3,yes,7,moderate,20.0,no,medium,no
N22DCQCN150,Thursday,18.3,cloudy,car,40.1,0.89,6.0,yes,13,light,23.0,no,low,no
N22DCQCN151,Thursday,7.9,sunny,car,29.8,1.0,7.7,yes,8,light,10.0,no,high,no
N22DCQCN152,Tuesday,6.9,cloudy,car,30.0,0.77,8.0,yes,7,moderate,45.0,yes,medium,no
N22DCQCN153,Monday,3.7,sunny,bike,15.1,0.57,8.0,no,14,moderate,24.0,no,high,no
N22DCQCN154,Tuesday,16.7,cloudy,walk,5.0,0.5,8.1,yes,9,moderate,10.0,no,high,yes
N22DCQCN155,Monday,4.4,rainy,car,32.5,0.69,8.5,yes,10,light,37.0,no,medium,no
N22DCQCN156,Wednesday,16.9,sunny,car,33.6,0.73,5.2,yes,14,light,42.0,no,medium,yes
N22DCQCN157,Monday,11.6,sunny,bus,24.8,0.58,8.6,no,13,moderate,46.0,no,low,yes
N22DCQCN158,Monday,14.7,rainy,bus,24.4,0.64,8.2,yes,15,moderate,41.0,no,medium,yes
N22DCQCN159,Monday,9.2,cloudy,walk,5.4,0.65,7.6,yes,8,moderate,48.0,yes,medium,yes
N22DCQCN160,Thursday,15.1,sunny,car,27.3,0.61,7.7,yes,16,light,36.0,no,low,yes
N22DCQCN161,Wednesday,20.3,cloudy,bus,18.3,0.92,6.7,yes,13,light,40.0,no,low,yes
N22DCQCN162,Friday,6.0,cloudy,bus,30.5,0.71,6.2,no,7,heavy,17.0,no,high,no
N22DCQCN163,Thursday,9.3,sunny,bus,30.2,0.4,9.6,no,16,heavy,15.0,no,high,no
N22DCQCN164,Monday,8.0,windy,car,33.3,0.8,7.7,yes,7,moderate,27.0,no,medium,no
N22DCQCN165,Monday,13.0,rainy,bus,24.6,0.75,6.8,no,9,heavy,18.0,no,high,no
N22DCQCN166,Thursday,13.2,rainy,bike,18.6,0.61,8.4,yes,7,light,27.0,no,low,yes
N22DCQCN167,Thursday,18.2,sunny,bike,20.4,0.43,5.1,yes,7,moderate,43.0,no,medium,yes
N22DCQCN168,Thursday,1.0,sunny,car,40.7,0.55,7.4,yes,7,heavy,38.0,no,medium,no
N22DCQCN169,Tuesday,12.2,sunny,car,34.4,0.56,9.0,yes,8,moderate,10.0,no,low,no
N22DCQCN170,Thursday,1.0,sunny,bus,26.9,0.83,8.4,no,16,moderate,49.0,no,high,no
N22DCQCN171,Thursday,4.6,cloudy,walk,5.0,1.0,6.9,yes,7,moderate,60.0,no,medium,yes
N22DCQCN172,Wednesday,1.0,cloudy,bike,18.2,0.23,6.7,no,10,light,51.0,no,medium,no
N22DCQCN173,Thursday,7.0,rainy,walk,5.0,0.69,8.1,yes,14,light,25.0,no,high,yes
N22DCQCN174,Wednesday,28.4,rainy,bike,17.5,0.56,8.3,yes,14,moderate,25.0,no,high,yes
N22DCQCN175,Wednesday,3.1,sunny,car,37.5,0.35,6.7,yes,13,moderate,46.0,no,high,no
N22DCQCN176,Friday,7.5,rainy,bus,26.7,0.65,4.3,yes,15,light,47.0,no,low,yes
N22DCQCN177,Wednesday,1.0,windy,bus,17.9,0.49,5.5,yes,10,light,53.0,no,medium,no
N22DCQCN178,Monday,5.9,sunny,bike,16.6,0.92,4.4,yes,10,light,43.0,no,medium,no
N22DCQCN179,Wednesday,5.7,sunny,train,46.1,0.68,7.7,yes,9,light,33.0,no,low,no
N22DCQCN180,Wednesday,8.6,cloudy,bus,28.4,0.45,7.8,yes,8,light,44.0,no,medium,no
N22DCQCN181,Thursday,10.7,sunny,bike,19.5,0.53,4.0,yes,10,light,36.0,no,medium,yes
N22DCQCN182,Wednesday,9.5,sunny,car,31.4,0.61,8.6,yes,9,light,42.0,no,low,no
N22DCQCN183,Thursday,14.5,rainy,train,54.8,0.96,9.3,no,14,moderate,18.0,no,medium,no
N22DCQCN184,Monday,22.8,cloudy,walk,5.0,0.49,5.5,yes,13,light,34.0,no,medium,yes
N22DCQCN185,Thursday,6.0,sunny,train,50.0,0.48,7.2,yes,7,moderate,38.0,no,low,no
N22DCQCN186,Tuesday,17.3,cloudy,bike,24.6,0.92,6.7,yes,7,light,43.0,no,low,yes
N22DCQCN187,Friday,3.7,sunny,walk,5.0,0.73,7.2,yes,7,moderate,23.0,no,high,no
N22DCQCN188,Friday,1.0,cloudy,bus,25.6,0.46,7.1,yes,7,moderate,33.0,no,medium,no
N22DCQCN189,Tuesday,11.3,sunny,bike,18.4,0.74,7.3,yes,9,moderate,31.0,no,high,no
N22DCQCN190,Tuesday,19.0,cloudy,bike,19.2,0.55,7.7,yes,8,heavy,31.0,no,high,yes
N22DCQCN191,Thursday,19.6,sunny,train,48.8,0.32,8.0,yes,15,moderate,29.0,no,low,no
N22DCQCN192,Wednesday,16.3,sunny,bus,28.6,0.58,8.9,yes,8,light,11.0,no,medium,no
N22DCQCN193,Tuesday,10.6,sunny,bus,24.3,0.82,7.2,yes,10,light,25.0,no,low,no
N22DCQCN194,Thursday,21.3,cloudy,bike,19.2,1.0,8.5,yes,8,moderate,29.0,no,medium,yes
N22DCQCN195,Monday,1.0,sunny,car,26.0,0.85,5.4,yes,8,heavy,42.0,no,low,yes
N22DCQCN196,Wednesday,1.0,rainy,bike,14.9,0.82,6.8,no,15,moderate,55.0,no,medium,no
N22DCQCN197,Thursday,19.2,cloudy,car,39.1,0.42,7.1,yes,14,heavy,34.0,no,medium,yes
N22DCQCN198,Monday,25.3,cloudy,bus,23.4,0.67,7.5,yes,10,light,14.0,yes,medium,yes
N22DCQCN199,Tuesday,3.2,windy,bus,26.5,0.56,6.1,no,8,moderate,21.0,no,high,no
N22DCQCN200,Monday,17.6,sunny,bus,23.3,0.72,7.7,yes,10,moderate,32.0,no,medium,yes
N22DCQCN201,Monday,1.0,windy,bike,15.5,1.0,6.6,yes,10,moderate,29.0,no,medium,no
N22DCQCN202,Tuesday,1.0,sunny,bike,21.1,1.0,5.4,yes,13,light,48.0,no,medium,no
N22DCQCN203,Monday,18.2,sunny,bus,28.5,0.7,7.4,yes,13,moderate,41.0,no,low,yes
N22DCQCN204,Monday,21.9,sunny,bike,21.1,0.94,6.0,yes,13,moderate,40.0,no,medium,yes
N22DCQCN205,Thursday,1.0,rainy,train,52.6,0.55,5.8,yes,8,light,32.0,no,high,no
N22DCQCN206,Tuesday,6.0,windy,bus,26.2,0.65,5.9,no,8,light,38.0,no,low,no
N22DCQCN207,Monday,7.0,rainy,walk,5.7,0.58,8.6,yes,13,light,23.0,no,medium,yes
N22DCQCN208,Tuesday,10.1,cloudy,bike,23.7,1.0,6.1,no,13,light,23.0,no,medium,no
N22DCQCN209,Tuesday,11.7,cloudy,bus,22.6,1.0,9.5,yes,14,light,10.0,no,medium,no
N22DCQCN210,Wednesday,7.9,sunny,train,48.3,0.79,8.6,yes,8,light,58.0,no,high,no
N22DCQCN211,Monday,6.3,rainy,bus,18.4,1.0,7.2,yes,14,light,28.0,yes,medium,no
N22DCQCN212,Thursday,3.3,rainy,car,26.7,0.46,8.5,no,7,light,51.0,no,medium,no
N22DCQCN213,Thursday,11.1,sunny,bus,25.9,0.7,6.9,yes,8,moderate,17.0,no,low,no
N22DCQCN214,Monday,17.7,cloudy,bus,27.6,0.78,8.0,yes,9,heavy,45.0,no,high,yes
N22DCQCN215,Wednesday,1.0,sunny,bus,19.3,0.57,5.4,yes,9,light,29.0,no,medium,no
N22DCQCN216,Wednesday,21.9,cloudy,train,60.0,0.58,7.9,yes,14,moderate,54.0,no,medium,yes
N22DCQCN217,Tuesday,2.8,rainy,bus,33.4,0.43,4.0,yes,10,light,36.0,no,medium,no
N22DCQCN218,Tuesday,8.9,cloudy,bus,26.0,1.0,9.1,yes,8,light,45.0,no,high,no
N22DCQCN219,Monday,11.1,cloudy,car,27.8,0.63,7.8,yes,9,heavy,30.0,no,low,no
N22DCQCN220,Monday,3.7,sunny,bike,20.6,0.9,7.2,yes,15,light,30.0,no,medium,no
N22DCQCN221,Tuesday,4.0,windy,walk,5.0,0.91,6.7,yes,9,moderate,43.0,no,medium,yes
N22DCQCN222,Monday,13.7,sunny,car,28.8,0.53,6.3,yes,9,moderate,44.0,no,low,yes
N22DCQCN223,Thursday,8.2,windy,bike,17.3,0.57,4.7,yes,7,light,36.0,no,low,yes
N22DCQCN224,Friday,1.0,rainy,train,60.0,0.39,9.8,yes,7,heavy,31.0,no,medium,no
N22DCQCN225,Thursday,11.8,windy,bike,18.3,0.74,8.0,yes,9,moderate,60.0,no,high,yes
N22DCQCN226,Friday,7.5,rainy,bus,31.5,0.62,6.7,yes,13,moderate,41.0,no,medium,no
N22DCQCN227,Thursday,1.0,cloudy,train,55.3,0.96,7.4,yes,7,light,18.0,no,low,no
N22DCQCN228,Friday,8.3,sunny,bus,26.2,0.68,7.5,yes,9,moderate,39.0,no,medium,no
N22DCQCN229,Thursday,12.0,sunny,bus,27.1,0.81,4.0,yes,14,moderate,40.0,no,low,yes
N22DCQCN230,Monday,3.8,cloudy,bus,27.0,0.67,7.0,yes,15,light,43.0,no,high,no
N22DCQCN231,Thursday,11.7,cloudy,bus,25.0,0.5,4.5,yes,13,moderate,49.0,no,medium,yes
N22DCQCN232,Thursday,1.0,cloudy,bike,15.3,0.49,8.4,yes,8,moderate,42.0,no,high,no
N22DCQCN233,Friday,9.4,cloudy,bus,25.2,0.73,4.1,no,8,heavy,25.0,no,high,no
N22DCQCN234,Wednesday,20.1,rainy,car,35.8,0.89,8.3,yes,7,moderate,48.0,yes,high,yes
N22DCQCN235,Friday,1.0,rainy,bike,23.3,0.92,7.1,no,9,heavy,45.0,no,high,no
N22DCQCN236,Thursday,14.0,sunny,bus,28.8,0.74,6.3,yes,14,light,42.0,no,high,no
N22DCQCN237,Friday,1.0,sunny,bus,26.0,0.79,10.0,yes,8,heavy,36.0,no,medium,no
N22DCQCN238,Thursday,3.9,sunny,bike,23.5,0.78,7.2,no,9,moderate,53.0,no,high,no
N22DCQCN239,Monday,7.6,rainy,car,36.5,0.82,6.3,no,8,heavy,15.0,no,low,no
N22DCQCN240,Thursday,13.5,cloudy,train,58.6,0.57,4.4,yes,14,light,39.0,no,low,no
N22DCQCN241,Friday,4.7,rainy,bike,23.5,0.67,4.0,yes,8,heavy,27.0,no,medium,yes
N22DCQCN242,Monday,21.0,sunny,train,50.2,0.99,9.0,yes,7,moderate,27.0,no,medium,no
N22DCQCN243,Monday,1.5,sunny,bus,25.1,0.52,6.8,yes,8,heavy,48.0,no,low,no
N22DCQCN244,Tuesday,18.5,sunny,train,44.8,0.55,7.6,yes,16,light,44.0,no,low,yes
N22DCQCN245,Friday,30.0,sunny,bike,18.7,0.98,8.4,no,14,heavy,12.0,no,high,yes
N22DCQCN246,Thursday,10.1,sunny,bus,24.3,0.62,6.2,yes,8,heavy,58.0,no,high,yes
N22DCQCN247,Thursday,11.1,cloudy,car,34.3,0.91,8.1,yes,10,light,43.0,yes,medium,no
